|region        |stat          |zkratka_meny|rok  |HDP                    |HDP_predchozi_rok      |mezirocni_zmena_HDP_abs|mezirocni_zmena_HDP_procentni|trend_HDP               |odvetvi                                                     |prumerny_plat |prumerny_plat_predchozi_rok|mezirocni_zmena_platu_abs|mezirocni_zmena_platu_procentne|trend_platu            |potravina                  |prumerna_cena|prumerna_cena_predchozi_rok|mezirocni_zmena_cen_abs|mezirocni_zmena_cen_procentne|trend_cen                     |
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná        |23.86,- Kč   |21.29,- Kč                 |2.57,- Kč              |12.07 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká           |9.08,- Kč    |7.41,- Kč                  |1.67,- Kč              |22.54 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Pomeranče                       |30.23,- Kč   |24.73,- Kč                 |5.50,- Kč              |22.24 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé            |44.04,- Kč   |38.60,- Kč                 |5.44,- Kč              |14.09 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Papriky                         |68.79,- Kč   |35.31,- Kč                 |33.48,- Kč             |94.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované     |15.59,- Kč   |14.44,- Kč                 |1.15,- Kč              |7.96 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Máslo                           |115.78,- Kč  |104.39,- Kč                |11.39,- Kč             |10.91 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá             |53.61,- Kč   |47.47,- Kč                 |6.14,- Kč              |12.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Konzumní brambory               |14.10,- Kč   |12.07,- Kč                 |2.03,- Kč              |16.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Kapr živý                       |78.97,- Kč   |69.35,- Kč                 |9.62,- Kč              |13.87 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový          |18.85,- Kč   |16.12,- Kč                 |2.73,- Kč              |16.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Eidamská cihla                  |122.68,- Kč  |110.95,- Kč                |11.73,- Kč             |10.57 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zdravotní a sociální péče                                   |19,053.50,- Kč|17,973.50,- Kč             |1,080.00,- Kč            |6.01 %                         |Růst platů o 5 a více %|Banány žluté                    |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá           |24.97,- Kč   |23.49,- Kč                 |1.48,- Kč              |6.30 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná        |23.86,- Kč   |21.29,- Kč                 |2.57,- Kč              |12.07 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká           |9.08,- Kč    |7.41,- Kč                  |1.67,- Kč              |22.54 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Pomeranče                       |30.23,- Kč   |24.73,- Kč                 |5.50,- Kč              |22.24 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé            |44.04,- Kč   |38.60,- Kč                 |5.44,- Kč              |14.09 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Papriky                         |68.79,- Kč   |35.31,- Kč                 |33.48,- Kč             |94.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované     |15.59,- Kč   |14.44,- Kč                 |1.15,- Kč              |7.96 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Máslo                           |115.78,- Kč  |104.39,- Kč                |11.39,- Kč             |10.91 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá             |53.61,- Kč   |47.47,- Kč                 |6.14,- Kč              |12.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Konzumní brambory               |14.10,- Kč   |12.07,- Kč                 |2.03,- Kč              |16.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Kapr živý                       |78.97,- Kč   |69.35,- Kč                 |9.62,- Kč              |13.87 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový          |18.85,- Kč   |16.12,- Kč                 |2.73,- Kč              |16.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Eidamská cihla                  |122.68,- Kč  |110.95,- Kč                |11.73,- Kč             |10.57 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zemědělství, lesnictví, rybářství                           |15,761.25,- Kč|14,421.00,- Kč             |1,340.25,- Kč            |9.29 %                         |Růst platů o 5 a více %|Banány žluté                    |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá           |24.97,- Kč   |23.49,- Kč                 |1.48,- Kč              |6.30 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná        |23.86,- Kč   |21.29,- Kč                 |2.57,- Kč              |12.07 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká           |9.08,- Kč    |7.41,- Kč                  |1.67,- Kč              |22.54 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Pomeranče                       |30.23,- Kč   |24.73,- Kč                 |5.50,- Kč              |22.24 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé            |44.04,- Kč   |38.60,- Kč                 |5.44,- Kč              |14.09 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Papriky                         |68.79,- Kč   |35.31,- Kč                 |33.48,- Kč             |94.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované     |15.59,- Kč   |14.44,- Kč                 |1.15,- Kč              |7.96 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Máslo                           |115.78,- Kč  |104.39,- Kč                |11.39,- Kč             |10.91 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá             |53.61,- Kč   |47.47,- Kč                 |6.14,- Kč              |12.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Konzumní brambory               |14.10,- Kč   |12.07,- Kč                 |2.03,- Kč              |16.82 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Kapr živý                       |78.97,- Kč   |69.35,- Kč                 |9.62,- Kč              |13.87 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový          |18.85,- Kč   |16.12,- Kč                 |2.73,- Kč              |16.93 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Eidamská cihla                  |122.68,- Kč  |110.95,- Kč                |11.73,- Kč             |10.57 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,007|208,469,898,850.69,- Kč|197,470,142,753.55,- Kč|10,999,756,097.14,- Kč |5.57 %                       |Změna HDP větší než 2,5%|Zpracovatelský průmysl                                      |19,633.25,- Kč|18,276.75,- Kč             |1,356.50,- Kč            |7.42 %                         |Růst platů o 5 a více %|Banány žluté                    |30.85,- Kč   |27.30,- Kč                 |3.55,- Kč              |13.00 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá           |28.12,- Kč   |24.97,- Kč                 |3.15,- Kč              |12.62 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Těstoviny vaječné               |30.76,- Kč   |26.71,- Kč                 |4.05,- Kč              |15.16 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Rýže loupaná dlouhozrnná        |32.69,- Kč   |23.86,- Kč                 |8.83,- Kč              |37.01 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Rostlinný roztíratelný tuk      |84.40,- Kč   |69.50,- Kč                 |14.90,- Kč             |21.44 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Pšeničná mouka hladká           |12.98,- Kč   |9.08,- Kč                  |3.90,- Kč              |42.95 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Přírodní minerální voda uhličitá|8.27,- Kč    |7.73,- Kč                  |0.54,- Kč              |6.99 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Pivo výčepní, světlé, lahvové   |8.97,- Kč    |8.51,- Kč                  |0.46,- Kč              |5.40 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Pečivo pšeničné bílé            |54.31,- Kč   |44.04,- Kč                 |10.27,- Kč             |23.32 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Mrkev                           |16.88,- Kč   |14.18,- Kč                 |2.70,- Kč              |19.04 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Mléko polotučné pasterované     |17.93,- Kč   |15.59,- Kč                 |2.34,- Kč              |15.01 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Kuřata kuchaná celá             |60.86,- Kč   |53.61,- Kč                 |7.25,- Kč              |13.52 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Jogurt bílý netučný             |6.28,- Kč    |5.88,- Kč                  |0.40,- Kč              |6.80 %                       |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Jablka konzumní                 |33.19,- Kč   |28.49,- Kč                 |4.70,- Kč              |16.50 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Chléb konzumní kmínový          |22.88,- Kč   |18.85,- Kč                 |4.03,- Kč              |21.38 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Doprava a skladování                                        |22,008.00,- Kč|20,394.00,- Kč             |1,614.00,- Kč            |7.91 %                         |Růst platů o 5 a více %|Eidamská cihla                  |135.28,- Kč  |122.68,- Kč                |12.60,- Kč             |10.27 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |40,861.50,- Kč|37,204.00,- Kč             |3,657.50,- Kč            |9.83 %                         |Růst platů o 5 a více %|Vejce slepičí čerstvá           |28.12,- Kč   |24.97,- Kč                 |3.15,- Kč              |12.62 %                      |Růst cen potravin o 5 a více %|
|Eastern Europe|Czech Republic|CZK         |2,008|214,070,259,127.50,- Kč|208,469,898,850.69,- Kč|5,600,360,276.81,- Kč  |2.69 %                       |Změna HDP větší než 2,5%|Informační a komunikační činnosti                           |40,861.50,- Kč|37,204.00,- Kč             |3,657.50,- Kč            |9.83 %                         |Růst platů o 5 a více %|Těstoviny vaječné               |30.76,- Kč   |26.71,- Kč                 |4.05,- Kč              |15.16 %                      |Růst cen potravin o 5 a více %|
